iter	Passed	Remaining
0	2	722
1	5	753
2	7	773
3	10	811
4	13	813
5	15	770
6	18	765
7	20	748
8	22	734
9	25	727
10	27	714
11	29	702
12	31	690
13	33	689
14	36	685
15	38	679
16	40	676
17	42	672
18	45	667
19	47	665
20	49	663
21	52	658
22	54	654
23	56	654
24	59	649
25	61	647
26	64	648
27	66	645
28	68	643
29	71	640
30	74	642
31	76	639
32	78	635
33	80	632
34	82	627
35	85	623
36	87	619
37	89	616
38	91	612
39	93	610
40	97	612
41	99	612
42	102	610
43	104	608
44	106	605
45	109	603
46	111	600
47	113	597
48	115	593
49	117	589
50	120	587
51	122	584
52	124	581
53	126	578
54	129	575
55	131	571
56	133	568
57	135	565
58	138	563
59	140	561
60	142	558
61	144	555
62	147	553
63	149	549
64	151	547
65	153	544
66	155	541
67	157	538
68	160	535
69	162	532
70	164	529
71	166	526
72	168	524
73	170	521
74	172	518
75	174	515
76	176	512
77	179	510
78	181	507
79	183	504
80	185	501
81	187	499
82	189	496
83	196	504
84	198	501
85	200	498
86	202	495
87	204	493
88	206	490
89	208	487
90	211	485
91	213	483
92	215	480
93	218	477
94	220	475
95	223	473
96	225	472
97	228	470
98	230	467
99	232	464
100	234	462
101	236	459
102	239	457
103	241	455
104	243	452
105	245	449
106	247	447
107	250	444
108	252	441
109	254	439
110	256	436
111	258	434
112	260	431
113	263	429
114	265	426
115	267	423
116	269	421
117	271	418
118	273	416
119	275	413
120	277	411
121	280	408
122	282	406
123	284	403
124	287	401
125	289	399
126	291	396
127	293	394
128	295	392
129	298	389
130	300	387
131	302	385
132	304	382
133	306	379
134	308	377
135	311	375
136	313	372
137	315	370
138	317	368
139	320	365
140	322	363
141	324	360
142	326	358
143	328	355
144	330	353
145	332	350
146	334	348
147	336	346
148	339	343
149	341	341
150	343	338
151	345	336
152	347	334
153	350	332
154	352	329
155	354	327
156	356	324
157	358	322
158	361	320
159	363	317
160	365	315
161	367	312
162	369	310
163	371	308
164	373	305
165	375	303
166	377	301
167	380	298
168	382	296
169	384	294
170	386	291
171	388	289
172	391	287
173	393	284
174	395	282
175	397	279
176	399	277
177	401	275
178	404	273
179	406	270
180	408	268
181	410	266
182	413	264
183	415	261
184	417	259
185	419	257
186	422	255
187	424	253
188	426	250
189	428	248
190	431	246
191	433	243
192	436	241
193	438	239
194	441	237
195	443	235
196	445	233
197	447	230
198	450	228
199	452	226
200	455	224
201	458	222
202	461	220
203	463	218
204	466	215
205	468	213
206	470	211
207	473	209
208	475	207
209	478	204
210	480	202
211	483	200
212	485	198
213	488	196
214	490	193
215	492	191
216	495	189
217	497	187
218	500	184
219	502	182
220	504	180
221	506	178
222	525	181
223	527	178
224	529	176
225	531	174
226	534	171
227	536	169
228	538	167
229	541	164
230	543	162
231	545	159
232	547	157
233	550	155
234	552	152
235	554	150
236	556	148
237	559	145
238	561	143
239	563	140
240	565	138
241	567	136
242	569	133
243	571	131
244	573	128
245	576	126
246	578	124
247	580	121
248	582	119
249	584	116
250	586	114
251	589	112
252	591	109
253	592	107
254	594	104
255	597	102
256	599	100
257	601	97
258	603	95
259	605	93
260	607	90
261	609	88
262	612	86
263	614	83
264	616	81
265	618	79
266	620	76
267	622	74
268	624	72
269	626	69
270	629	67
271	631	65
272	633	62
273	635	60
274	637	57
275	640	55
276	642	53
277	644	50
278	646	48
279	648	46
280	650	43
281	652	41
282	654	39
283	656	37
284	659	34
285	661	32
