iter	Passed	Remaining
0	143	42993
1	145	21632
2	146	14547
3	148	10953
4	149	8810
5	150	7374
6	151	6346
7	152	5576
8	154	4990
9	155	4515
10	156	4115
11	157	3786
12	158	3509
13	160	3272
14	161	3066
15	163	2894
16	164	2735
17	165	2591
18	166	2464
19	167	2348
20	168	2243
21	170	2156
22	171	2071
23	173	1991
24	174	1919
25	175	1852
26	176	1784
27	177	1728
28	178	1672
29	180	1621
30	181	1573
31	182	1526
32	182	1480
33	184	1440
34	185	1402
35	187	1371
36	188	1338
37	189	1305
38	190	1274
39	191	1245
40	192	1218
41	194	1194
42	195	1170
43	197	1146
44	198	1123
45	198	1097
46	199	1074
47	200	1054
48	202	1039
49	203	1017
50	204	999
51	205	981
52	207	964
53	208	948
54	209	934
55	211	920
56	212	905
57	213	890
58	214	876
59	215	863
60	217	851
61	218	840
62	220	828
63	221	816
64	222	804
65	223	792
66	224	781
67	226	771
68	227	761
69	228	751
70	229	741
71	230	731
72	232	722
73	233	714
74	235	705
75	236	696
76	237	687
77	238	678
78	239	670
79	241	663
80	242	655
81	243	648
82	245	640
83	246	633
84	247	626
85	249	620
86	250	613
87	252	607
88	253	600
89	254	594
90	255	587
91	257	581
92	258	575
93	259	569
94	260	562
95	261	556
96	262	550
97	263	544
98	265	539
99	267	534
100	267	527
101	269	522
102	270	517
103	271	511
104	273	507
105	274	502
106	275	497
107	276	491
108	277	486
109	278	481
110	279	476
111	280	471
112	282	466
113	283	462
114	284	457
115	285	453
116	287	448
117	288	444
118	289	440
119	291	436
120	292	432
121	293	428
122	294	424
123	296	420
124	297	416
125	298	412
126	299	408
127	301	404
128	302	400
129	303	396
130	304	393
131	306	389
132	307	385
133	308	382
134	310	378
135	311	375
136	313	373
137	314	369
138	316	366
139	317	362
140	318	359
141	320	356
142	322	353
143	323	350
144	324	347
145	325	343
146	327	340
147	328	337
148	330	334
149	331	331
150	332	328
151	333	325
152	335	322
153	336	319
154	338	316
155	339	313
156	340	310
157	341	307
158	342	303
159	344	301
160	345	298
161	347	295
162	348	292
163	349	289
164	350	286
165	351	284
166	353	281
167	354	278
168	355	275
169	356	272
170	357	269
171	359	267
172	360	264
173	361	261
174	362	259
175	363	256
176	365	253
177	366	251
178	367	248
179	369	246
180	370	243
181	371	241
182	373	238
183	374	235
184	375	233
185	377	231
186	378	228
187	379	225
188	380	223
189	381	220
190	382	218
191	383	215
192	385	213
193	386	211
194	387	208
195	388	206
196	389	203
197	391	201
198	392	199
199	394	197
200	394	194
201	395	192
202	397	189
203	398	187
204	399	185
205	401	183
206	402	180
207	403	178
208	404	176
209	405	173
210	407	171
211	408	169
212	409	167
213	410	165
214	412	162
215	413	160
216	414	158
217	416	156
218	417	154
219	418	152
220	419	150
221	420	147
222	422	145
223	423	143
224	425	141
225	426	139
226	427	137
227	428	135
228	429	133
229	431	131
230	432	129
231	433	127
232	435	125
233	436	123
234	437	120
235	439	119
236	440	117
237	441	115
238	442	113
239	443	110
240	444	108
241	446	107
242	448	105
243	449	103
244	450	101
245	451	99
246	452	97
247	454	95
248	456	93
249	457	91
250	458	89
251	459	87
252	461	85
253	462	83
254	464	81
255	465	79
256	466	78
257	467	76
258	468	74
259	469	72
260	471	70
261	472	68
262	473	66
263	474	64
264	475	62
265	476	60
266	478	59
267	479	57
268	480	55
269	482	53
270	483	51
271	484	49
272	485	48
273	487	46
274	488	44
275	489	42
276	490	40
277	491	38
278	493	37
279	494	35
280	495	33
281	497	31
282	498	29
283	499	28
284	500	26
285	501	24
286	503	22
287	504	21
288	505	19
289	506	17
290	507	15
291	508	13
292	510	12
293	511	10
294	512	8
295	513	6
296	514	5
297	515	3
298	516	1
299	518	0
