iter	RMSE
0	89344.68889
1	76635.19949
2	76026.43814
3	75512.71201
4	73818.20385
5	73709.3419
6	68704.20976
7	67764.18618
8	67572.97338
9	67253.81514
10	66466.33316
11	62181.29373
12	58960.74436
13	57618.40743
14	56721.7235
15	55734.88281
16	54822.26102
17	53981.24127
18	53310.60355
19	52743.87029
20	52038.30089
21	51575.51043
22	51256.92208
23	50922.82416
24	50537.53212
25	50187.29865
26	49945.52593
27	49797.6387
28	49672.57682
29	49398.92936
30	49210.38868
31	49002.46172
32	48812.06636
33	48630.03842
34	48447.78197
35	48256.22723
36	48203.10277
37	48049.10424
38	47876.39816
39	47746.39685
40	47624.54351
41	47538.52341
42	47398.52704
43	47238.56298
44	47123.58488
45	46966.38504
46	46799.9232
47	46676.39069
48	46569.62931
49	46536.92189
50	46401.14371
51	46271.73127
52	46130.91525
53	46016.40736
54	45919.9708
55	45769.23481
56	45681.32526
57	45608.41386
58	45473.70072
59	45365.84034
60	45298.89533
61	45204.6785
62	45081.48522
63	44955.15809
64	44855.39896
65	44776.75757
66	44708.01325
67	44575.01656
68	44471.6608
69	44448.7791
70	44378.82554
71	44291.94095
72	44214.42082
73	44185.36948
74	44138.88954
75	43989.86397
76	43911.64052
77	43869.71234
78	43780.12775
79	43638.50941
80	43580.69248
81	43501.05994
82	43399.06048
83	43334.83471
84	43205.70308
85	43124.98266
86	43065.18084
87	42981.17301
88	42929.14169
89	42885.57042
90	42857.01458
91	42801.54533
92	42735.99575
93	42668.1633
94	42620.12898
95	42556.93497
96	42527.35505
97	42506.34629
98	42453.74213
99	42394.65048
100	42353.28241
101	42214.59753
102	42129.55811
103	42060.03147
104	42006.84005
105	41938.13225
106	41915.07854
107	41864.94086
108	41819.79036
109	41757.36675
110	41715.75538
111	41694.21216
112	41620.28972
113	41586.32163
114	41529.77142
115	41499.73383
116	41491.79917
117	41436.93855
118	41410.87617
119	41373.72401
120	41312.52349
121	41280.91148
122	41262.53153
123	41231.52777
124	41202.71896
125	41172.05774
126	41086.11965
127	40994.3947
128	40958.62499
129	40940.77098
130	40910.84305
131	40860.76878
132	40813.29086
133	40805.13645
134	40772.05483
135	40694.55882
136	40653.0537
137	40606.50793
138	40566.90211
139	40519.74137
140	40509.97457
141	40474.75369
142	40420.89086
143	40323.78324
144	40294.58762
145	40276.61527
146	40223.13649
147	40189.08703
148	40154.43169
149	40109.61461
150	40047.44924
151	40024.60348
152	40011.29892
153	39980.54941
154	39959.48923
155	39921.65419
156	39889.48327
157	39857.20701
158	39815.87868
159	39779.45132
160	39761.7625
161	39736.50003
162	39702.00411
163	39672.33009
164	39629.05545
165	39600.1735
166	39570.74038
167	39556.50001
168	39524.42786
169	39484.86675
170	39446.00347
171	39409.50861
172	39355.20711
173	39301.08398
174	39254.19366
175	39200.49646
176	39174.3224
177	39166.45496
178	39126.74139
179	39080.79431
180	39061.63545
181	39029.1886
182	38986.49313
183	38945.99106
184	38913.28385
185	38873.51545
186	38816.59711
187	38766.36162
188	38762.71603
189	38718.13806
190	38679.03034
191	38637.28745
192	38596.69168
193	38575.98798
194	38539.39295
195	38510.32422
196	38465.44166
197	38439.5991
198	38399.41917
199	38364.14455
200	38329.86645
201	38305.93577
202	38274.13677
203	38242.58599
204	38212.38849
205	38182.61929
206	38153.31383
207	38127.09133
208	38094.25517
209	38070.28528
210	38035.00552
211	38000.95858
212	37974.07754
213	37948.06398
214	37915.92334
215	37890.72084
216	37874.56037
217	37806.94034
218	37775.64173
219	37752.85161
220	37725.83088
221	37704.06819
222	37689.34953
223	37677.03082
224	37653.65772
225	37647.9438
226	37646.41479
227	37625.78644
228	37604.77911
229	37600.74842
230	37574.63771
231	37548.11988
232	37525.81336
233	37501.16802
234	37487.80333
235	37460.2076
236	37427.3181
237	37402.85052
238	37376.04478
239	37347.9682
240	37320.94795
241	37297.44346
242	37277.53711
243	37241.43015
244	37207.6086
245	37180.3808
246	37150.59219
247	37115.13152
248	37072.36081
249	37029.27411
250	37000.80725
251	36982.18985
252	36951.18807
253	36928.45077
254	36913.86197
255	36885.38036
256	36879.25844
257	36849.9782
258	36827.94466
259	36808.47928
260	36781.30393
261	36762.46091
262	36740.3963
263	36709.69681
264	36685.64942
265	36662.17512
266	36641.77932
267	36623.42446
268	36601.99794
269	36578.80535
270	36549.68662
271	36533.16756
272	36516.5015
273	36500.64933
274	36471.99815
275	36451.46105
276	36433.2901
277	36406.44041
278	36389.97393
279	36374.5659
280	36360.96603
281	36332.43488
282	36313.25653
283	36274.89294
284	36255.53044
285	36225.82637
286	36210.50114
287	36206.32586
288	36200.39879
289	36195.52386
290	36177.10991
291	36164.52185
292	36141.10859
293	36110.02994
294	36093.62609
295	36081.30293
296	36060.48414
297	36043.7747
298	36027.5544
299	36005.5791
300	35987.25032
301	35968.77294
302	35946.27669
303	35924.87034
304	35921.86592
305	35904.71648
306	35884.74953
307	35867.57802
308	35840.6617
309	35813.74745
310	35795.98127
311	35778.63344
312	35729.57068
313	35726.50395
314	35705.29669
315	35689.25408
316	35674.18112
317	35652.09535
318	35640.69309
319	35622.46494
320	35601.55959
321	35592.61422
322	35588.32483
323	35578.00255
324	35562.10518
325	35548.61302
326	35522.37279
327	35499.2314
328	35491.9036
329	35490.17794
330	35465.89548
331	35449.50364
332	35435.00377
333	35407.97662
334	35384.75598
335	35368.35518
336	35348.68804
337	35328.36024
338	35313.50612
339	35300.6137
340	35285.73239
341	35272.18789
342	35260.39411
343	35246.039
344	35228.24706
345	35211.39834
346	35200.28838
347	35180.92195
348	35162.09128
349	35145.12843
350	35132.92502
351	35111.76179
352	35094.27373
353	35079.88756
354	35064.51644
355	35053.74321
356	35043.67529
357	35027.65015
358	35013.22943
359	35000.9137
360	34981.91046
361	34961.95796
362	34955.23469
363	34939.41878
364	34927.97687
365	34909.20801
366	34896.34598
367	34878.01334
368	34875.12222
369	34845.31565
370	34825.70812
371	34807.32318
372	34804.02513
373	34787.69874
374	34777.09531
375	34754.78583
376	34733.46069
377	34712.93853
378	34703.84916
379	34684.28193
380	34662.25035
381	34648.03659
382	34623.89122
383	34608.28378
384	34596.92343
385	34579.67131
386	34570.51018
387	34569.34443
388	34555.30385
389	34538.08779
390	34521.99863
391	34511.41573
392	34496.44216
393	34475.66794
394	34454.70996
395	34434.39129
396	34418.60021
397	34414.70276
398	34394.27315
399	34376.53954
400	34366.18686
401	34338.36998
402	34319.50445
403	34314.8041
404	34290.96727
405	34272.9445
406	34260.52806
407	34248.90867
408	34241.77519
409	34236.68588
410	34212.82683
411	34210.68297
412	34207.92046
413	34189.66032
414	34185.34649
415	34168.14459
416	34156.29663
417	34147.6185
418	34130.86269
