iter	Passed	Remaining
0	2	1769
1	5	1662
2	7	1585
3	10	1629
4	13	1702
5	15	1668
6	48	4479
7	56	4550
8	62	4417
9	67	4316
10	70	4096
11	75	4008
12	77	3805
13	80	3635
14	82	3490
15	85	3368
16	87	3269
17	96	3389
18	98	3286
19	101	3203
20	109	3278
21	111	3191
22	161	4414
23	164	4284
24	167	4182
25	169	4073
26	172	3977
27	174	3882
28	177	3795
29	181	3743
30	183	3669
31	189	3651
32	192	3598
33	197	3573
34	199	3510
35	204	3490
36	206	3427
37	245	3953
38	250	3923
39	255	3895
40	258	3837
41	260	3771
42	262	3710
43	266	3674
44	269	3617
45	271	3571
46	274	3519
47	354	4440
48	357	4379
49	359	4310
50	361	4244
51	373	4297
52	376	4241
53	380	4202
54	383	4145
55	387	4107
56	389	4052
57	391	3999
58	395	3959
59	397	3911
60	400	3863
61	402	3816
62	404	3771
63	407	3732
64	412	3713
65	415	3676
66	417	3635
67	419	3594
68	422	3557
69	429	3556
70	431	3518
71	433	3482
72	482	3814
73	497	3868
74	499	3832
75	515	3891
76	518	3857
77	520	3817
78	523	3783
79	525	3747
80	530	3728
81	532	3691
82	592	4047
83	597	4023
84	600	3992
85	603	3957
86	609	3946
87	612	3914
88	622	3924
89	625	3889
90	691	4249
91	694	4213
92	703	4211
93	705	4173
94	708	4137
95	772	4460
96	775	4421
97	777	4380
98	784	4368
99	787	4330
100	789	4292
101	792	4260
102	797	4233
103	799	4198
104	803	4169
105	819	4206
106	821	4170
107	824	4138
108	835	4148
109	838	4115
110	840	4082
111	900	4324
112	902	4288
113	904	4253
114	907	4220
115	938	4319
116	940	4285
117	974	4393
118	984	4393
119	986	4358
120	991	4335
121	1000	4331
122	1003	4297
123	1005	4264
124	1007	4232
125	1010	4204
126	1017	4188
127	1019	4157
128	1022	4130
129	1026	4107
130	1031	4086
131	1036	4068
132	1038	4038
133	1050	4045
134	1053	4017
135	1055	3989
136	1064	3987
137	1067	3960
138	1069	3933
139	1080	3935
140	1082	3907
141	1084	3880
142	1087	3855
143	1147	4032
144	1150	4005
145	1152	3980
146	1202	4114
147	1213	4115
148	1215	4087
149	1218	4061
150	1221	4037
151	1224	4011
152	1227	3986
153	1234	3976
154	1237	3951
155	1240	3927
156	1243	3903
157	1245	3879
158	1248	3855
159	1264	3871
160	1266	3846
161	1269	3823
162	1273	3804
163	1276	3782
164	1278	3758
165	1282	3738
166	1284	3714
167	1286	3691
168	1289	3668
169	1291	3646
170	1293	3624
171	1304	3624
172	1306	3603
173	1309	3581
174	1311	3560
175	1435	3865
176	1437	3841
177	1439	3817
178	1469	3867
179	1494	3902
180	1497	3880
181	1507	3876
182	1509	3853
183	1513	3833
184	1516	3811
185	1519	3790
186	1521	3768
187	1524	3745
188	1684	4108
189	1715	4153
190	1718	4130
191	1721	4107
192	1724	4083
193	1784	4195
194	1806	4215
195	1817	4210
196	1820	4186
197	1823	4161
198	1837	4164
199	1841	4142
200	1850	4134
201	1853	4110
202	1855	4085
203	1858	4062
204	1860	4039
205	1869	4028
206	1871	4005
207	1883	4001
208	1886	3979
209	1889	3958
210	1906	3966
211	1909	3945
212	1912	3923
213	1915	3901
214	1917	3879
215	1919	3857
216	1935	3861
217	1963	3891
218	1966	3869
219	1968	3847
220	1971	3826
221	1980	3819
222	1983	3798
223	2004	3811
224	2114	3993
225	2116	3970
226	2118	3947
227	2127	3937
228	2129	3915
229	2131	3892
230	2134	3871
231	2146	3866
232	2148	3845
233	2150	3823
234	2153	3802
235	2162	3793
236	2164	3772
237	2167	3751
238	2181	3751
239	2201	3760
240	2214	3757
241	2216	3737
242	2261	3787
243	2276	3788
244	2281	3771
245	2298	3774
246	2330	3802
247	2332	3781
248	2342	3773
249	2345	3753
250	2362	3755
251	2365	3735
252	2375	3727
253	2377	3707
254	2380	3687
255	2382	3667
256	2385	3648
257	2396	3641
258	2398	3621
259	2401	3601
260	2412	3595
261	2414	3575
262	2417	3556
263	2419	3537
264	2421	3518
265	2424	3500
266	2507	3597
267	2510	3578
268	2523	3573
269	2526	3556
270	2537	3549
271	2540	3530
272	2550	3522
273	2553	3504
274	2556	3485
275	2559	3468
276	2562	3450
277	2564	3431
278	2628	3495
279	2631	3477
280	2634	3459
281	2637	3441
282	2639	3423
283	2642	3405
284	2653	3397
285	2655	3380
286	2950	3732
287	2954	3713
288	2956	3693
289	2966	3682
290	3305	4078
291	3317	4067
292	3324	4050
293	3340	4044
294	3420	4116
295	3423	4094
296	3472	4127
297	3501	4136
298	3523	4135
299	3656	4265
300	3670	4255
301	3947	4549
302	3950	4523
303	3952	4498
304	3954	4473
305	3966	4459
306	3970	4435
307	3981	4421
308	3985	4398
309	3988	4374
310	3992	4351
311	4012	4347
312	4161	4480
313	4171	4463
314	4174	4439
315	4176	4414
316	4179	4389
317	4188	4373
318	4191	4348
319	4208	4339
320	4210	4315
321	4220	4298
322	4222	4275
323	4226	4252
324	4488	4488
325	4490	4463
326	4493	4439
327	4496	4414
328	4511	4401
329	4520	4383
330	4523	4359
331	4526	4335
332	4529	4311
333	4539	4295
334	4542	4271
335	4545	4247
336	4675	4342
337	4678	4318
338	4688	4301
339	4690	4276
340	4694	4253
341	4708	4240
342	4718	4223
343	4720	4199
344	4722	4175
345	4726	4152
346	4735	4135
347	4738	4111
348	4823	4160
349	4826	4136
350	4836	4120
351	4839	4096
352	4842	4074
353	4852	4057
354	4855	4034
355	4857	4011
356	4867	3994
357	4870	3972
358	4872	3949
359	4875	3927
360	4971	3979
361	4973	3956
362	4984	3940
363	4986	3917
364	4989	3895
365	4993	3874
366	4999	3855
367	5063	3880
368	5066	3857
369	5068	3835
370	5070	3813
371	5073	3791
372	5076	3769
373	5082	3751
374	5085	3729
375	5087	3707
376	5099	3692
377	5101	3671
378	5104	3649
379	5120	3637
380	5130	3622
381	5133	3601
382	5136	3580
383	5168	3580
384	5173	3560
385	5181	3543
386	5183	3522
387	5185	3501
388	5203	3490
389	5219	3479
390	5233	3466
391	5236	3446
392	5240	3427
393	5245	3408
394	5247	3387
395	5250	3367
396	5265	3355
397	5407	3424
398	5410	3403
399	5445	3403
400	5448	3383
401	5461	3369
402	5463	3348
403	5468	3329
404	5470	3309
405	5474	3290
406	5476	3269
407	5479	3249
408	5492	3236
409	5526	3234
410	5530	3215
411	5535	3197
412	5538	3178
413	5541	3158
414	5547	3141
415	5551	3122
416	5555	3104
417	5558	3084
418	5561	3066
419	5572	3051
420	5576	3033
421	5579	3014
422	5589	2999
423	5591	2980
424	5593	2961
425	5596	2942
426	5599	2924
427	5603	2906
428	5606	2888
429	5608	2869
430	5610	2850
431	5613	2832
432	5616	2814
433	5619	2796
434	5703	2819
435	5706	2801
436	5709	2782
437	5711	2764
438	5714	2746
439	5716	2728
440	5720	2710
441	5758	2710
442	5761	2692
443	5765	2675
444	5768	2657
445	5771	2640
446	5774	2622
447	5777	2605
448	5780	2587
449	5783	2570
450	5788	2554
451	5790	2536
452	5793	2519
453	5796	2502
454	5798	2485
455	5801	2468
456	5803	2450
457	5805	2433
458	5814	2419
459	5822	2405
460	5870	2406
461	5872	2389
462	5875	2373
463	5878	2356
464	5881	2340
465	5884	2323
466	5886	2306
467	5888	2289
468	5897	2276
469	5899	2259
470	5902	2243
471	5904	2226
472	5954	2228
473	5961	2213
474	5964	2197
475	5967	2181
476	5969	2165
477	5981	2152
478	5983	2136
479	5987	2120
480	5992	2105
481	5994	2089
482	6004	2076
483	6007	2060
484	6072	2065
485	6075	2050
486	6077	2034
487	6080	2018
488	6083	2002
489	6086	1987
490	6088	1971
491	6091	1956
492	6093	1940
493	6095	1924
494	6098	1909
495	6100	1894
496	6103	1879
497	6160	1880
498	6164	1865
499	6170	1851
500	6172	1835
501	6186	1823
502	6188	1808
503	6191	1793
504	6201	1780
505	6203	1765
506	6206	1750
507	6208	1735
508	6217	1722
509	6271	1721
510	6275	1707
511	6283	1693
512	6291	1680
513	6301	1667
514	6303	1652
515	6306	1637
516	6316	1624
517	6318	1610
518	6321	1595
519	6328	1582
520	6330	1567
521	6333	1553
522	6335	1538
523	6338	1524
524	6352	1512
525	6354	1498
526	6364	1485
527	6372	1472
528	6381	1459
529	6383	1445
530	6385	1431
531	6388	1416
532	6399	1404
533	6454	1402
534	6468	1390
535	6471	1376
536	6485	1364
537	6499	1352
538	6517	1342
539	6520	1328
540	6566	1322
541	6597	1314
542	6612	1303
543	6628	1291
544	6653	1281
545	6655	1267
546	6673	1256
547	6683	1244
548	6686	1230
549	6688	1216
550	6690	1202
551	6701	1189
552	6704	1176
553	6750	1169
554	6752	1155
555	6754	1142
556	6757	1128
557	6789	1119
558	6799	1106
559	6801	1093
560	6803	1079
561	6805	1065
562	6814	1053
563	6817	1039
564	6819	1025
565	6822	1012
566	6825	999
567	6828	985
568	6830	972
569	6834	959
570	6837	945
571	6847	933
572	6850	920
573	6852	907
574	6855	894
575	6858	881
576	6860	867
577	6863	855
578	6866	841
579	6868	828
580	6871	816
581	6880	803
582	6884	791
583	6886	778
584	6895	766
585	6898	753
586	6918	742
587	6932	730
588	6935	718
589	6944	706
590	6961	694
591	6963	682
592	6966	669
593	6968	656
594	6978	645
595	6981	632
596	6983	619
597	6993	608
598	6996	595
599	6999	583
600	7011	571
601	7013	559
602	7015	546
603	7018	534
604	7033	523
605	7039	511
606	7045	499
607	7047	486
608	7050	474
609	7083	464
610	7087	452
611	7091	440
612	7093	428
613	7096	416
614	7099	404
615	7109	392
616	7111	380
617	7114	368
618	7116	356
619	7119	344
620	7122	332
621	7124	320
622	7141	309
623	7154	298
624	7158	286
625	7167	274
626	7170	263
627	7172	251
628	7182	239
629	7185	228
630	7200	216
631	7208	205
632	7216	193
633	7222	182
634	7224	170
635	7241	159
636	7248	147
637	7251	136
638	7254	124
639	7256	113
640	7260	101
641	7263	90
642	7267	79
643	7270	67
644	7274	56
645	7280	45
646	7283	33
647	7355	22
648	7363	11
649	7367	0
