iter	Logloss
0	0.6771221483
1	0.6629956899
2	0.6510159133
3	0.6400439992
4	0.6308251061
5	0.6223689628
6	0.6174600552
7	0.6130101705
8	0.6069012182
9	0.6033891209
10	0.6001334961
11	0.5968778778
12	0.5941936128
13	0.5914355243
14	0.59040034
15	0.5894006276
16	0.5883967164
17	0.5844438928
18	0.5835099127
19	0.5827283507
20	0.5818682287
21	0.5799480055
22	0.5791594604
23	0.5772128195
24	0.5764880098
25	0.5747589771
26	0.5741455205
27	0.5724979879
28	0.570755574
29	0.5701187091
30	0.5696483248
31	0.5691247052
32	0.5686814672
33	0.5670959576
34	0.5665778069
35	0.5653285
36	0.564854741
37	0.563567752
38	0.5631103328
39	0.562710484
40	0.5616825644
41	0.5612210831
42	0.5607483909
43	0.5603183918
44	0.5599335487
45	0.5595207579
46	0.5591915793
47	0.5588332805
48	0.5584655726
49	0.5580770684
50	0.5572215377
51	0.5568936468
52	0.5561285332
53	0.5557704847
54	0.5554888577
55	0.5551543631
56	0.5541173504
57	0.5538199546
58	0.5535485552
59	0.5533024455
60	0.5530177826
61	0.5526895914
62	0.5523723339
63	0.5520992097
64	0.5518039194
65	0.5515950199
66	0.5513925805
67	0.5512211348
68	0.5509518719
69	0.5507771196
70	0.5505342511
71	0.5503268005
72	0.5500925367
73	0.5494396906
74	0.5491411873
75	0.5489284953
76	0.5486421057
77	0.5479134202
78	0.5477652738
79	0.5476198688
80	0.54741767
81	0.5471402572
82	0.5468998205
83	0.5466968735
84	0.5463842562
85	0.5462763545
86	0.5461210423
87	0.545410131
88	0.5451805837
89	0.5450103941
90	0.5448094789
91	0.5445888015
92	0.5444097757
93	0.5437457716
94	0.5436484175
95	0.5434173611
96	0.5432589287
97	0.5430139326
98	0.5428009012
99	0.5426587881
