iter	Passed	Remaining
0	9	935
1	15	758
2	22	741
3	28	689
4	47	905
5	53	840
6	61	819
7	69	795
8	78	792
9	85	768
10	95	769
11	104	765
12	112	750
13	119	731
14	127	721
15	135	711
16	140	688
17	152	695
18	162	693
19	172	691
20	186	702
21	194	689
22	199	669
23	230	730
24	236	709
25	269	768
26	277	749
27	287	739
28	293	718
29	300	700
30	307	683
31	314	667
32	322	655
33	328	637
34	335	622
35	341	606
36	350	596
37	357	583
38	362	566
39	367	551
40	372	535
41	376	520
42	382	507
43	389	495
44	396	484
45	406	477
46	412	464
47	416	451
48	421	438
49	426	426
50	431	414
51	437	403
52	441	391
53	446	380
54	451	369
55	455	357
56	460	347
57	464	336
58	469	326
59	473	315
60	478	305
61	484	296
62	488	286
63	493	277
64	499	268
65	508	262
66	516	254
67	526	247
68	538	241
69	545	233
70	552	225
71	559	217
72	565	209
73	571	200
74	575	191
75	582	183
76	590	176
77	594	167
78	599	159
79	606	151
80	618	145
81	623	136
82	628	128
83	632	120
84	639	112
85	644	104
86	650	97
87	655	89
88	663	82
89	669	74
90	676	66
91	682	59
92	687	51
93	696	44
94	701	36
95	707	29
96	712	22
97	719	14
98	724	7
99	731	0
